project,department,category,year,project_id,cost_m,variance_pct,duration_months,rating,delivery_score,cost_score,duration_score,variance_score,risk_score,risk_tier,source_file
Government Hubs and Whitehall Campus Programme,CO,Government Transformation and Service Delivery,2024-25,CO_0133_2223-Q1,558.0,12.79,178.97503285151117,,,15,20,10,,Not scored,GMPP_2024_25.xlsx
Manchester Digital Campus,CO,Government Transformation and Service Delivery,2024-25,CO_0438_2425-Q3,1443.7,,68.72536136662286,AMBER,25.0,20,15,0,60.0,High,GMPP_2024_25.xlsx
WORKPLACE SERVICES TRANSFORMATION PROGRAMME,CO,Government Transformation and Service Delivery,2024-25,CO_0029_2021-Q4,1059.0,7.5,,,,20,0,5,,Not scored,GMPP_2024_25.xlsx
Civil Service Pensions 2015 Remedy,CO,Government Transformation and Service Delivery,2024-25,CO_0024_2021-Q2,50.5,17.39,49.34296977660972,,,5,10,10,,Not scored,GMPP_2024_25.xlsx
ATS Transformation,CO,Government Transformation and Service Delivery,2024-25,CO_0281_2324-Q2,42.12,10.73,68.92247043363994,,,5,15,10,,Not scored,GMPP_2024_25.xlsx
Future Service Programme,CO,ICT,2024-25,CO_0027_2021-Q4,239.0,0.0,,,,10,0,0,,Not scored,GMPP_2024_25.xlsx
Transforming Public Procurement,CO,Government Transformation and Service Delivery,2024-25,CO_0120_2223-Q1,31.5,13.24,62.91064388961892,,,5,15,10,,Not scored,GMPP_2024_25.xlsx
Falcon Programme,CO,Government Transformation and Service Delivery,2024-25,CO_0176_2223-Q3,23.7,5.83,,,,5,0,5,,Not scored,GMPP_2024_25.xlsx
ROSA RENEWAL PROJECT,CO,ICT,2024-25,CO_0210_2223-Q4,51.0,0.0,35.972404730617605,,,5,5,0,,Not scored,GMPP_2024_25.xlsx
AUTOMOTIVE TRANSFORMATION FUND (ATF),DBT,Infrastructure and Construction,2024-25,BEIS_0090_2122-Q4,671.0,37.64,,,,15,0,15,,Not scored,GMPP_2024_25.xlsx
POST OFFICE - NEW IT SYSTEM,DBT,ICT,2024-25,DBT_0293_2324-Q3,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
British Museum - Energy Centre Programme (ECP),DCMS,Infrastructure and Construction,2024-25,DCMS_0254_2324-Q1,209.0,66.02,93.00262812089356,,,10,15,15,,Not scored,GMPP_2024_25.xlsx
Youth Investment Fund,DCMS,Infrastructure and Construction,2024-25,DCMS_0118_2223-Q1,310.0,3.8,47.96320630749014,AMBER,25.0,10,10,5,50.0,High,GMPP_2024_25.xlsx
4th National Lottery Licence,DCMS,Government Transformation and Service Delivery,2024-25,DCMS_0013_1819-Q3,154.85,3.71,85.4796320630749,,,10,15,5,,Not scored,GMPP_2024_25.xlsx
EURO 2028,DCMS,Government Transformation and Service Delivery,2024-25,DCMS_0321_2324-Q3,,,77.66097240473061,AMBER,25.0,0,15,0,40.0,Medium,GMPP_2024_25.xlsx
Natural History Museum Unlocked,DCMS,Infrastructure and Construction,2024-25,DCMS_0018_2021-Q3,221.0,1.85,148.52168199737187,,,10,20,5,,Not scored,GMPP_2024_25.xlsx
TERRESTRIAL NATURAL CAPITAL ECOSYSTEM ASSESSMENT,DEFRA,Government Transformation and Service Delivery,2024-25,DEFRA_0190_2223-Q3,331.47,2.2,,,,10,0,5,,Not scored,GMPP_2024_25.xlsx
"COLLECTIONS, PACKAGING AND REFORMS PROGRAMME",DEFRA,Government Transformation and Service Delivery,2024-25,DEFRA_0040_2122-Q3,1192.18,0.0,120.9592641261498,AMBER,25.0,20,20,0,65.0,High,GMPP_2024_25.xlsx
Livestock Information Transformation Programme,DEFRA,Government Transformation and Service Delivery,2024-25,DEFRA_0348_2324-Q4,478.08,7.75,,AMBER,25.0,10,0,5,40.0,Medium,GMPP_2024_25.xlsx
NO2 PROGRAMME,DEFRA,Infrastructure and Construction,2024-25,DEFRA_0014_2021-Q4,883.0,32.26,143.95532194480944,,,15,20,15,,Not scored,GMPP_2024_25.xlsx
"BIOSECURITY, BORDERS AND TRADE PROGRAMME",DEFRA,Government Transformation and Service Delivery,2024-25,DEFRA_0016_2122-Q1,820.57,14.73,50.91984231274638,AMBER,25.0,15,10,10,60.0,High,GMPP_2024_25.xlsx
FARMING AND COUNTRYSIDE PROGRAMME,DEFRA,Government Transformation and Service Delivery,2024-25,DEFRA_0008_2021-Q1,24875.0,6.43,140.0131406044678,RED,40.0,25,20,5,90.0,Critical,GMPP_2024_25.xlsx
National Biosecurity Centre (Weybridge),DEFRA,Infrastructure and Construction,2024-25,DEFRA_0007_2021-Q1,2820.0,33.11,185.9724047306176,AMBER,25.0,20,20,15,80.0,Critical,GMPP_2024_25.xlsx
NORTHERN IRELAND,DEFRA,Government Transformation and Service Delivery,2024-25,DEFRA_0015_2122-Q1,544.46,0.0,62.91064388961892,AMBER,25.0,15,15,0,55.0,High,GMPP_2024_25.xlsx
NATURE FOR CLIMATE FUND,DEFRA,Infrastructure and Construction,2024-25,DEFRA_0013_2021-Q4,928.0,0.0,,RED,40.0,15,0,0,55.0,High,GMPP_2024_25.xlsx
Cefas Infrastructure to Support Future Delivery at Sea,DEFRA,Government Transformation and Service Delivery,2024-25,DEFRA_0349_2324-Q4,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
FLOOD AND COASTAL EROSION RISK MANAGEMENT,DEFRA,Infrastructure and Construction,2024-25,DEFRA_0236_2324-Q1,4613.0,0.0,71.94480946123521,AMBER,25.0,20,15,0,60.0,High,GMPP_2024_25.xlsx
Warm Homes: Local Grant,DESNZ,ICT,2024-25,DESNZ_0471_2425-Q4,,,47.8646517739816,,,0,10,0,,Not scored,GMPP_2024_25.xlsx
REPLACEMENT ANALYTICAL PROJECT,DESNZ,Infrastructure and Construction,2024-25,BEIS_0007_2021-Q3,737.26,7.14,193.1011826544021,RED,40.0,15,20,5,80.0,Critical,GMPP_2024_25.xlsx
SIXEP CONTINUITY PLANT,DESNZ,Infrastructure and Construction,2024-25,BEIS_0009_2021-Q3,1092.97,27.68,211.95795006570302,,,20,20,15,,Not scored,GMPP_2024_25.xlsx
GEOLOGICAL DISPOSAL FACILITY,DESNZ,Infrastructure and Construction,2024-25,DECC_0005_1112-Q1,20300.0,9.77,500.95269382391587,RED,40.0,25,20,5,90.0,Critical,GMPP_2024_25.xlsx
GREAT BRITISH NUCLEAR,DESNZ,Infrastructure and Construction,2024-25,BEIS_0233_2223-Q4,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
Review of Electricity Market Arrangements (REMA),DESNZ,Government Transformation and Service Delivery,2024-25,DESNZ_0333_2324-Q4,,3.41,142.80551905387648,,,0,20,5,,Not scored,GMPP_2024_25.xlsx
Boiler Upgrade Scheme,DESNZ,Infrastructure and Construction,2024-25,DESNZ_0375_2425-Q1,794.4,31.94,,,,15,0,15,,Not scored,GMPP_2024_25.xlsx
Hydrogen Allocation Round 1 (HAR1),DESNZ,Infrastructure and Construction,2024-25,DESNZ_0334_2324-Q3,2366.0,100.0,239.32325886990802,,,20,20,15,,Not scored,GMPP_2024_25.xlsx
HyNet Anchor,DESNZ,Infrastructure and Construction,2024-25,DESNZ_0457_2425-Q3,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
Smart Metering Implementation Programme,DESNZ,Infrastructure and Construction,2024-25,DECC_0010_1112-Q1,20177.0,0.0,252.9237844940867,AMBER,25.0,25,20,0,70.0,Critical,GMPP_2024_25.xlsx
LOW COST NUCLEAR PROGRAMME (ROLLS ROYCE SMRS CHALLENGE),DESNZ,Infrastructure and Construction,2024-25,BEIS_0001_2122-Q2,468.0,6.7,46.97766097240473,,,10,10,5,,Not scored,GMPP_2024_25.xlsx
SOCIAL HOUSING DECARBONISATION FUND ,DESNZ,Infrastructure and Construction,2024-25,BEIS_0014_2021-Q4,2206.0,8.44,96.71484888304862,AMBER,25.0,20,15,5,65.0,High,GMPP_2024_25.xlsx
BEPPS2,DESNZ,Infrastructure and Construction,2024-25,BEIS_0241_2324-Q1,747.34,7.67,211.892247043364,,,15,20,5,,Not scored,GMPP_2024_25.xlsx
East Coast Cluster Anchor (ECC),DESNZ,Infrastructure and Construction,2024-25,DESNZ_0458_2425-Q3,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
Home Upgrade Grant and Local Authority Delivery (HULA) schemes,DESNZ,Government Transformation and Service Delivery,2024-25,DESNZ_0295_2324-Q3,1307.0,2.87,66.03153745072274,AMBER,25.0,20,15,5,65.0,High,GMPP_2024_25.xlsx
SELLAFIELD PRODUCT AND RESIDUE STORE RETREATMENT PLANT PROJECT,DESNZ,Infrastructure and Construction,2024-25,BEIS_0008_2021-Q3,1471.12,13.61,216.98423127463863,,,20,20,10,,Not scored,GMPP_2024_25.xlsx
Spherical Tokamak for Energy Production,DESNZ,Infrastructure and Construction,2024-25,BEIS_0153_2223-Q2,,0.25,,AMBER,25.0,0,0,5,30.0,Medium,GMPP_2024_25.xlsx
NEW NUCLEAR PROJECT (SIZEWELL C),DESNZ,Infrastructure and Construction,2024-25,BEIS_0019_2122-Q1,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
PUBLIC SECTOR DECARBONISATION SCHEME,DESNZ,Infrastructure and Construction,2024-25,BEIS_0013_2021-Q4,3836.29,6.66,92.73981603153744,,,20,15,5,,Not scored,GMPP_2024_25.xlsx
GREEN HEAT NETWORK FUND,DESNZ,Infrastructure and Construction,2024-25,BEIS_0115_2223-Q1,701.63,22.8,,,,15,0,15,,Not scored,GMPP_2024_25.xlsx
FEDERATED DATA PLATFORM,DHSC,Government Transformation and Service Delivery,2024-25,DHSC_0252_2324-Q1,1042.0,17.21,119.97371879106439,,,20,15,10,,Not scored,GMPP_2024_25.xlsx
DATA FOR RESEARCH AND DEVELOPMENT (R&D),DHSC,Government Transformation and Service Delivery,2024-25,DHSC_0253_2324-Q1,206.34,8.52,38.92904073587385,,,10,10,5,,Not scored,GMPP_2024_25.xlsx
NHS Digital Transformation of Screening,DHSC,Government Transformation and Service Delivery,2024-25,DHSC_0069_2021-Q4,106.69,0.8,131.96452036793693,,,10,20,5,,Not scored,GMPP_2024_25.xlsx
PHE SCIENCE HUB,DHSC,Infrastructure and Construction,2024-25,DOH_0017_1112-Q1,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
Future NHS Workforce Solution Transformation Programme,DHSC,ICT,2024-25,DHSC_0041_2122-Q3,,39.37,122.24047306176084,,,0,20,15,,Not scored,GMPP_2024_25.xlsx
DIGITISING SOCIAL CARE,DHSC,Government Transformation and Service Delivery,2024-25,DHSC_0096_2122-Q4,598.0,25.81,47.96320630749014,,,15,10,15,,Not scored,GMPP_2024_25.xlsx
INTEGRATED SINGLE FINANCIAL ENVIRONMENT,DHSC,ICT,2024-25,DHSC_0067_2021-Q3,208.98,46.48,75.0,AMBER,25.0,10,15,15,65.0,High,GMPP_2024_25.xlsx
NEW HOSPITAL PROGRAMME,DHSC,Infrastructure and Construction,2024-25,DHSC_0066_2021-Q2,60008.0,54.1,303.05519053876475,AMBER,25.0,25,20,15,85.0,Critical,GMPP_2024_25.xlsx
FRONTLINE DIGITISATION,DHSC,ICT,2024-25,DHSC_0071_2122-Q1,2035.2,8.04,47.96320630749014,,,20,10,5,,Not scored,GMPP_2024_25.xlsx
MODERNA STRATEGIC PARTNERSHIP PROGRAMME,DHSC,Infrastructure and Construction,2024-25,DHSC_0243_2324-Q1,,,,AMBER,25.0,0,0,0,25.0,Low,GMPP_2024_25.xlsx
Open Networks Programme,DSIT,Infrastructure and Construction,2024-25,DCMS_0107_2223-Q1,325.0,2.13,42.93692509855453,,,10,10,5,,Not scored,GMPP_2024_25.xlsx
Met Office Supercomputer Programme,DSIT,ICT,2024-25,BEIS_0005_1920-Q4,1242.0,5.27,174.2772667542707,,,20,20,5,,Not scored,GMPP_2024_25.xlsx
MATRIX CLUSTER TRANSFORMATION PROGRAMME,DSIT,Government Transformation and Service Delivery,2024-25,BEIS_0079_2122-Q4,938.0,5.72,67.96977660972405,AMBER,25.0,15,15,5,60.0,High,GMPP_2024_25.xlsx
National Underground Asset Register (NUAR),DSIT,Government Transformation and Service Delivery,2024-25,CO_0014_2122-Q2,42.6,3.29,55.68331143232589,,,5,10,5,,Not scored,GMPP_2024_25.xlsx
GOV.UK One Login,DSIT,ICT,2024-25,CO_0033_2122-Q1,342.19,2.83,86.82654402102496,,,10,15,5,,Not scored,GMPP_2024_25.xlsx
Project Gigabit,DSIT,Infrastructure and Construction,2024-25,DCMS_0019_2021-Q4,5404.0,64.73,116.98423127463863,,,25,15,15,,Not scored,GMPP_2024_25.xlsx
Shared Rural Network,DSIT,Infrastructure and Construction,2024-25,DCMS_0020_2122-Q1,512.0,65.09,239.98028909329827,AMBER,25.0,15,20,15,75.0,Critical,GMPP_2024_25.xlsx
CONTINUING THE MOVE TO UNIVERSAL CREDIT,DWP,Government Transformation and Service Delivery,2024-25,DWP_0009_1112-Q1,17305.0,2.1,,GREEN,5.0,25,0,5,35.0,Medium,GMPP_2024_25.xlsx
BUILDING SAFETY REGULATOR,DWP,Government Transformation and Service Delivery,2024-25,DWP_0008_2122-Q2,909.74,9.34,,GREEN,5.0,15,0,5,25.0,Low,GMPP_2024_25.xlsx
Workplace Transformation,DWP,Government Transformation and Service Delivery,2024-25,DWP_0013_2122-Q2,3506.7,42.17,116.95137976346912,AMBER,25.0,20,15,15,75.0,Critical,GMPP_2024_25.xlsx
Connect to Work,DWP,Government Transformation and Service Delivery,2024-25,DWP_0304_2324-Q3,1373.8,6.64,83.96846254927726,AMBER,25.0,20,15,5,65.0,High,GMPP_2024_25.xlsx
SERVICE MODERNISATION PROGRAMME,DWP,Government Transformation and Service Delivery,2024-25,DWP_0217_2223-Q4,763.61,8.22,,AMBER,25.0,15,0,5,45.0,Medium,GMPP_2024_25.xlsx
Health Transformation Programme,DWP,Government Transformation and Service Delivery,2024-25,DWP_0028_1819-Q3,2987.05,18.32,138.04204993429698,AMBER,25.0,20,20,10,75.0,Critical,GMPP_2024_25.xlsx
SYNERGY PROGRAMME,DWP,Government Transformation and Service Delivery,2024-25,DWP_0042_2122-Q3,2450.59,20.46,92.93692509855452,RED,40.0,20,15,15,90.0,Critical,GMPP_2024_25.xlsx
PENSIONS DASHBOARD PROGRAMME,DWP,ICT,2024-25,DWP_0029_2021-Q4,,7.66,95.9592641261498,AMBER,25.0,0,15,5,45.0,Medium,GMPP_2024_25.xlsx
FE Capital Transformation,DFE,Infrastructure and Construction,2024-25,DFE_0015_2021-Q3,,,71.94480946123521,,,0,15,0,,Not scored,GMPP_2024_25.xlsx
SCHOOL REBUILDING PROGRAMME,DFE,Infrastructure and Construction,2024-25,DFE_0018_2021-Q3,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
LIFELONG LEARNING ENTITLEMENT,DFE,Government Transformation and Service Delivery,2024-25,DFE_0109_2223-Q1,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
TEACHER DEVELOPMENT REFORM PROGRAMME,DFE,Government Transformation and Service Delivery,2024-25,DFE_0014_2021-Q2,940.46,9.96,,,,15,0,5,,Not scored,GMPP_2024_25.xlsx
HIGHER TECHNICAL EDUCATION,DFE,Government Transformation and Service Delivery,2024-25,DFE_0173_2223-Q2,176.0,83.15,,,,10,0,15,,Not scored,GMPP_2024_25.xlsx
NATIONAL TUTORING PROGRAMME,DFE,Government Transformation and Service Delivery,2024-25,DFE_0020_2021-Q4,1125.0,5.14,56.96452036793692,,,20,10,5,,Not scored,GMPP_2024_25.xlsx
SKILLS BOOTCAMPS,DFE,Government Transformation and Service Delivery,2024-25,DFE_0017_2021-Q3,785.55,2.86,73.88304862023652,,,15,15,5,,Not scored,GMPP_2024_25.xlsx
T-LEVELS,DFE,Government Transformation and Service Delivery,2024-25,DFE_0010_1819-Q1,1653.3,23.52,142.21419185282522,,,20,20,15,,Not scored,GMPP_2024_25.xlsx
Early Years Childcare Reform Programme,DFE,Government Transformation and Service Delivery,2024-25,DFE_0272_2324-Q2,15135.0,0.0,68.5611038107753,,,25,15,0,,Not scored,GMPP_2024_25.xlsx
REDEVELOPMENT EUSTON CONVENTIONAL STATION (RECS),DFT,Infrastructure and Construction,2024-25,DFT_0139_2223-Q1,,0.0,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
A428 BLACK CAT TO CAXTON GIBBET,DFT,Infrastructure and Construction,2024-25,DFT_0031_1819-Q1,,3.02,,,,0,0,5,,Not scored,GMPP_2024_25.xlsx
EAST COAST MAINLINE PROGRAMME,DFT,Infrastructure and Construction,2024-25,DFT_0033_1819-Q1,1040.0,6.43,146.02496714848883,,,20,20,5,,Not scored,GMPP_2024_25.xlsx
TRANSPENNINE ROUTE UPGRADE,DFT,Infrastructure and Construction,2024-25,DFT_0037_1920-Q3,11056.0,0.57,291.5243101182654,AMBER,25.0,25,20,5,75.0,Critical,GMPP_2024_25.xlsx
A417 AIR BALLOON,DFT,Infrastructure and Construction,2024-25,DFT_0044_2021-Q2,535.0,20.6,148.98160315374506,,,15,20,15,,Not scored,GMPP_2024_25.xlsx
HS2 PHASE I,DFT,Infrastructure and Construction,2024-25,DFT_0040_2021-Q1,,0.0,,RED,40.0,0,0,0,40.0,Medium,GMPP_2024_25.xlsx
LOWER THAMES CROSSING,DFT,Infrastructure and Construction,2024-25,DFT_0022_1415-Q4,8950.0,0.0,238.66622864651774,AMBER,25.0,25,20,0,70.0,Critical,GMPP_2024_25.xlsx
PUBLIC OWNERSHIP TRANSITION PROGRAMME,DFT,Government Transformation and Service Delivery,2024-25,DFT_0439_2425-Q3,36.6,41.03,,AMBER,25.0,5,0,15,45.0,Medium,GMPP_2024_25.xlsx
RAIL SECTOR TRANSFORMATION PROGRAMME,DFT,Government Transformation and Service Delivery,2024-25,DFT_0020_2122-Q2,,,,AMBER,25.0,0,0,0,25.0,Low,GMPP_2024_25.xlsx
2ND GENERATION UK SEARCH AND RESCUE AVIATION,DFT,Government Transformation and Service Delivery,2024-25,DFT_0048_2021-Q3,1959.0,,84.49408672798948,,,20,15,0,,Not scored,GMPP_2024_25.xlsx
NORTHERN POWERHOUSE RAIL,DFT,Infrastructure and Construction,2024-25,DFT_0141_2223-Q1,30600.0,38.77,354.89487516425754,RED,40.0,25,20,15,100.0,Critical,GMPP_2024_25.xlsx
Midland Main Line Electrification (MMLE) Programme,DFT,Infrastructure and Construction,2024-25,DFT_0039_2122-Q3,1468.0,24.39,131.30749014454665,,,20,20,15,,Not scored,GMPP_2024_25.xlsx
RAPID CHARGING FUND,DFT,Infrastructure and Construction,2024-25,DFT_0054_2122-Q1,,86.36,89.12614980289094,,,0,15,15,,Not scored,GMPP_2024_25.xlsx
A12 CHELMSFORD TO A120 WIDENING,DFT,Infrastructure and Construction,2024-25,DFT_0034_1920-Q2,,68.54,,,,0,0,15,,Not scored,GMPP_2024_25.xlsx
EAST WEST RAIL CONNECTION STATE 2 AND 3,DFT,Infrastructure and Construction,2024-25,DFT_0052_2122-Q1,3970.0,48.57,194.25098554533508,AMBER,25.0,20,20,15,80.0,Critical,GMPP_2024_25.xlsx
A66,DFT,Infrastructure and Construction,2024-25,DFT_0047_2021-Q3,,0.0,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
MIDLANDS RAIL HUB,DFT,Infrastructure and Construction,2024-25,DFT_0043_2021-Q2,1569.0,9.36,284.9868593955322,,,20,20,5,,Not scored,GMPP_2024_25.xlsx
EAST COAST DIGITAL PROGRAMME,DFT,Infrastructure and Construction,2024-25,DFT_0038_1920-Q4,3465.4,25.58,161.43232588699078,AMBER,25.0,20,20,15,80.0,Critical,GMPP_2024_25.xlsx
EAST WEST RAIL CONNECTION STATE 1,DFT,Infrastructure and Construction,2024-25,DFT_0046_2021-Q2,1353.0,5.58,165.04599211563732,,,20,20,5,,Not scored,GMPP_2024_25.xlsx
ECHO 2 PROGRAMME,FCDO,ICT,2024-25,FCO_0010_1617-Q3,265.0,0.0,,,,10,0,0,,Not scored,GMPP_2024_25.xlsx
"TOKYO NEW BUILD, REMODELLING AND REFURBISHMENT",FCDO,Infrastructure and Construction,2024-25,FCO_0216_2223-Q4,101.0,0.0,113.99474375821288,,,10,15,0,,Not scored,GMPP_2024_25.xlsx
LOCAL LAND CHARGES (LLC) PROGRAMME,HMLR,Government Transformation and Service Delivery,2024-25,BIS_0015_1516-Q1,331.0,49.16,156.96452036793693,,,10,20,15,,Not scored,GMPP_2024_25.xlsx
TRADER SUPPORT SERVICE,HMRC,Government Transformation and Service Delivery,2024-25,HMRC_0029_2021-Q3,711.5,28.65,60.019710906701704,,,15,15,15,,Not scored,GMPP_2024_25.xlsx
HMRC NORTHERN IRELAND DELIVERY PROGRAMME,HMRC,ICT,2024-25,HMRC_0164_2223-Q3,573.05,8.24,59.95400788436268,,,15,10,5,,Not scored,GMPP_2024_25.xlsx
BUILDING OUR FUTURE LOCATIONS PROGRAMME,HMRC,Government Transformation and Service Delivery,2024-25,HMRC_0015_1617-Q1,2884.0,2.56,182.95006570302232,,,20,20,5,,Not scored,GMPP_2024_25.xlsx
MAKING TAX DIGITAL,HMRC,ICT,2024-25,HMRC_0017_1617-Q2,1439.03,0.26,155.94612352168198,AMBER,25.0,20,20,5,70.0,Critical,GMPP_2024_25.xlsx
SINGLE CUSTOMS PLATFORM,HMRC,ICT,2024-25,HMRC_0159_2223-Q2,589.44,0.08,59.855453350854134,AMBER,25.0,15,10,5,55.0,High,GMPP_2024_25.xlsx
UNITY PROGRAMME,HMRC,Government Transformation and Service Delivery,2024-25,HMRC_0031_2122-Q3,259.0,18.42,82.91721419185282,AMBER,25.0,10,15,10,60.0,High,GMPP_2024_25.xlsx
ENTERPRISE TAX MANAGEMENT PLATFORM (ETMP),HMRC,Government Transformation and Service Delivery,2024-25,HMRC_0292_2324-Q3,443.9,7.2,92.04993429697765,,,10,15,5,,Not scored,GMPP_2024_25.xlsx
NS&I Transformation,HMT,Government Transformation and Service Delivery,2024-25,HMT_0004_2021-Q2,2955.6,3.76,105.91327201051249,RED,40.0,20,15,5,80.0,Critical,GMPP_2024_25.xlsx
MANSTON TRANSFORMATION PROGRAMME,HO,Government Transformation and Service Delivery,2024-25,HO_0285_2324-Q2,987.31,14.48,73.94875164257556,AMBER,25.0,15,15,10,65.0,High,GMPP_2024_25.xlsx
Asylum Support Accommodation Programme,HO,Government Transformation and Service Delivery,2024-25,HO_0286_2324-Q2,72079.0,14.41,94.97371879106439,,,25,15,10,,Not scored,GMPP_2024_25.xlsx
ASYLUM TRANSFORMATION PROGRAMME,HO,Government Transformation and Service Delivery,2024-25,HO_0183_2223-Q3,362.0,54.69,54.92772667542707,AMBER,25.0,10,10,15,60.0,High,GMPP_2024_25.xlsx
ACCOMMODATION PROGRAMME (NON DETAINED) (APND),HO,Government Transformation and Service Delivery,2024-25,HO_0149_2223-Q2,2492.43,74.38,62.023653088042046,AMBER,25.0,20,15,15,75.0,Critical,GMPP_2024_25.xlsx
NATIONAL STRATEGIC AUTOMATIC NUMBER PLATE RECOGNITION PLATFORM (NSAP),HO,Government Transformation and Service Delivery,2024-25,HO_0332_2324-Q4,538.9,31.29,60.972404730617605,,,15,15,15,,Not scored,GMPP_2024_25.xlsx
FRAUD AND CYBER CRIME REPORTING AND ANALYSIS SERVICE,HO,Government Transformation and Service Delivery,2024-25,HO_0045_2122-Q1,182.72,20.09,62.877792378449406,,,10,15,15,,Not scored,GMPP_2024_25.xlsx
IMMIGRATION PLATFORM TECHNOLOGIES (IPT),HO,ICT,2024-25,HO_0029_1314-Q4,807.49,9.97,,,,15,0,5,,Not scored,GMPP_2024_25.xlsx
MARITIME CAPABILITIES REPLACEMENT PROGRAMME,HO,Government Transformation and Service Delivery,2024-25,HO_0150_2223-Q2,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
RADIOLOGICAL AND NUCLEAR CHANGE PROGRAMME (RNCP),HO,Government Transformation and Service Delivery,2024-25,HO_0047_2122-Q1,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
FUTURE BORDER AND IMMIGRATION SYSTEM PROGRAMME (FBIS),HO,Government Transformation and Service Delivery,2024-25,HO_0039_1920-Q4,4536.0,21.0,107.95006570302233,AMBER,25.0,20,15,15,75.0,Critical,GMPP_2024_25.xlsx
FUTURE SUPPLIERS SERVICES,HO,Government Transformation and Service Delivery,2024-25,HO_0043_2021-Q4,528.98,10.34,61.925098554533506,,,15,15,10,,Not scored,GMPP_2024_25.xlsx
Immigration Removal Centre (IRC) Expansion Programme,HO,Infrastructure and Construction,2024-25,HO_0330_2324-Q4,,,,,,0,0,0,,Not scored,GMPP_2024_25.xlsx
Civil Registration Service Transformation (CReST),HO,Government Transformation and Service Delivery,2024-25,HO_0373_2425-Q1,235.66,2.1,71.05781865965834,,,10,15,5,,Not scored,GMPP_2024_25.xlsx
EMERGENCY SERVICES MOBILE COMMUNICATIONS,HO,ICT,2024-25,HO_0016_1213-Q1,19180.0,0.0,,AMBER,25.0,25,0,0,50.0,High,GMPP_2024_25.xlsx
HOME OFFICE BIOMETRICS (HOB) PROGRAMME,HO,ICT,2024-25,HO_0033_1415-Q3,1550.0,10.39,152.98948751642575,AMBER,25.0,20,20,10,75.0,Critical,GMPP_2024_25.xlsx
Cerberus,HO,Government Transformation and Service Delivery,2024-25,HO_0042_2021-Q3,240.97,40.91,125.9526938239159,AMBER,25.0,10,20,15,70.0,Critical,GMPP_2024_25.xlsx
ANTI-MONEY LAUNDERING AND ASSET RECOVERY (AMLAR),HO,Government Transformation and Service Delivery,2024-25,HO_0228_2223-Q4,414.2,0.0,35.972404730617605,,,10,5,0,,Not scored,GMPP_2024_25.xlsx
Police National Database (PND),HO,ICT,2024-25,HO_0331_2324-Q4,387.64,28.58,26.379763469119577,,,10,5,15,,Not scored,GMPP_2024_25.xlsx
Law Enforcement Data Service,HO,ICT,2024-25,HO_0036_1617-Q2,905.07,34.06,143.95532194480944,,,15,20,15,,Not scored,GMPP_2024_25.xlsx
PASSPORT TRANSFORMATION PROGRAMME,HO,Government Transformation and Service Delivery,2024-25,HO_0044_2021-Q4,1010.06,0.55,,,,20,0,5,,Not scored,GMPP_2024_25.xlsx
Fraud Reform,HO,Government Transformation and Service Delivery,2024-25,HO_0229_2223-Q4,431.4,1.92,35.972404730617605,,,10,5,5,,Not scored,GMPP_2024_25.xlsx
UK HOLOCAUST MEMORIAL AND LEARNING CENTRE,MHCLG,Infrastructure and Construction,2024-25,MHCLG_0005_2021-Q4,142.88,46.88,,,,10,0,15,,Not scored,GMPP_2024_25.xlsx
HOUSING INFRASTRUCTURE FUND,MHCLG,Infrastructure and Construction,2024-25,MHCLG_0004_2021-Q4,4263.7,0.64,134.98685939553218,AMBER,25.0,20,20,5,70.0,Critical,GMPP_2024_25.xlsx
Towns Fund,MHCLG,Infrastructure and Construction,2024-25,MHCLG_0007_2122-Q1,3106.0,7.21,,,,20,0,5,,Not scored,GMPP_2024_25.xlsx
Affordable Homes Programme (AHP),MHCLG,Infrastructure and Construction,2024-25,DLUHC_0138_2223-Q1,12337.0,5.05,,AMBER,25.0,25,0,5,55.0,High,GMPP_2024_25.xlsx
ELECTORAL INTEGRITY PROGRAMME,MHCLG,Government Transformation and Service Delivery,2024-25,CO_0025_2021-Q3,388.0,4.04,,GREEN,5.0,10,0,5,20.0,Low,GMPP_2024_25.xlsx
DIGITAL PLANNING PROGRAMME,MHCLG,Government Transformation and Service Delivery,2024-25,DLUHC_0181_2223-Q3,148.34,16.27,78.87647831800263,AMBER,25.0,10,15,10,60.0,High,GMPP_2024_25.xlsx
